DESCRIPTION,PRODUCT,MATERIAL,GRADE,SURFACE,NESTING_ALGO,CERTS,NOM UNITS,NOM L,ACTUAL L,NOM W,ACTUAL W,NOM H,ACTUAL H,WALL,PACK 1,PACK 2,PACK 3,KGM,BASELINE_SUPPLIER
,,,,,,,,,,,,,,,,,,,
75PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,75,,,1,,,5.92,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
100PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,100,,,1,,,8.33,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
100PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,100,,,1,,,8.33,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
125PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,125,,,1,,,11.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
150PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,150,,,1,,,17.7,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
150PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,150,,,1,,,17.7,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
180PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,180,,,1,,,20.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
180PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,180,,,1,,,20.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
200PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,200,,,1,,,22.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
200PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,200,,,1,,,22.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
200PFC 13.5m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,13500,,,,200,,,1,,,22.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
200PFC 15m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,15000,,,,200,,,1,,,22.9,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
230PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,230,,,1,,,25.1,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
230PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,230,,,1,,,25.1,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
250PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,250,,,1,,,35.5,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
250PFC 12m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,12000,,,,250,,,1,,,35.5,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
,,,,,,,,,,,,,,,,,,,
300PFC 9m,PFC,PLAIN_CARBON_STEEL,GR300,NONE,METERAGE,TRUE,MILLIMETERS,9000,,,,300,,,1,,,40.1,https://www.southernsteel.com.au/wp-content/uploads/2023/03/Southern-Steel-Supplies-Steel-Reference-Guide-Apr-2023-Rev-4.pdf
